score: 2529.152777777778, reward: 19.743055555555557, states: 1542, train_cnt: 6, mutation_cnt: 1
score: 2445.0, reward: 20.0, states: 1445, train_cnt: 6, mutation_cnt: 0
score: 2495.574074074074, reward: 19.73148148148148, states: 1509, train_cnt: 6, mutation_cnt: 0
score: 2524.884259259259, reward: 19.497685185185187, states: 1550, train_cnt: 6, mutation_cnt: 1
score: 2468.0, reward: 20.0, states: 1468, train_cnt: 6, mutation_cnt: 0
score: 2401.6111111111113, reward: 18.972222222222225, states: 1453, train_cnt: 6, mutation_cnt: 1
score: 2473.3263888888887, reward: 19.246527777777775, states: 1511, train_cnt: 6, mutation_cnt: 0
score: 2410.4166666666665, reward: 19.708333333333332, states: 1425, train_cnt: 6, mutation_cnt: 0
score: 2479.4421296296296, reward: 19.74884259259259, states: 1492, train_cnt: 6, mutation_cnt: 0
score: 2520.0, reward: 20.0, states: 1520, train_cnt: 7, mutation_cnt: 1
score: 2476.189814814815, reward: 18.983796296296294, states: 1527, train_cnt: 7, mutation_cnt: 1
score: 2440.0, reward: 20.0, states: 1440, train_cnt: 7, mutation_cnt: 0
score: 2500.3055555555557, reward: 19.48611111111111, states: 1526, train_cnt: 7, mutation_cnt: 0
score: 2540.0, reward: 20.0, states: 1540, train_cnt: 7, mutation_cnt: 1
score: 2440.0, reward: 20.0, states: 1440, train_cnt: 7, mutation_cnt: 0
score: 2444.4166666666665, reward: 19.708333333333332, states: 1459, train_cnt: 7, mutation_cnt: 1
score: 2513.0, reward: 20.0, states: 1513, train_cnt: 7, mutation_cnt: 0
score: 2446.5324074074074, reward: 17.71064814814815, states: 1561, train_cnt: 7, mutation_cnt: 1
score: 2422.0, reward: 20.0, states: 1422, train_cnt: 7, mutation_cnt: 0
